"","n_genes","min_corr","gene"
"1",1,0,"Ttyh1"
"2",2,0,"Pla2g10"
"3",3,0,"Dppa3"
"4",4,1.00000135046355e-05,"Fcer1g"
"5",5,1.00013074325372e-05,"Slc2a2"
"6",6,1.00106953085851e-05,"Gypa"
"7",7,1.00968027951164e-05,"Lyve1"
"8",8,1.01431375759451e-05,"Tcap"
"9",9,1.06622724698239e-05,"Bhlha9"
"10",10,1.06627952865189e-05,"Six3"
"11",11,1.08277026261207e-05,"Prss35"
"12",12,1.09617002952889e-05,"Egr2"
"13",13,1.1016908652939e-05,"Spag1"
"14",14,1.10413550363443e-05,"Dll3"
"15",15,1.1090432831979e-05,"Dio3"
"16",16,1.14721594609506e-05,"Cyth1"
"17",17,1.1568673717426e-05,"Fgfbp3"
"18",18,1.16065240569558e-05,"Ctxn3"
"19",19,1.17862280881652e-05,"Foxe1"
"20",20,1.18371557670126e-05,"C1ql2"
"21",21,1.20147911387637e-05,"Plekhb1"
"22",22,1.22434709731824e-05,"Tph1"
"23",23,1.22476078212979e-05,"Cd164l2"
"24",24,1.26503078558181e-05,"Gja5"
"25",25,1.27069002770599e-05,"Foxd3"
"26",26,1.27871145437831e-05,"Hlx"
"27",27,0.0857034817765997,"Adgrg3"
"28",28,0.10996037699978,"Elf5"
"29",29,0.119880708227799,"Meox2"
"30",30,0.146536605924882,"Tbx1"
"31",31,0.138530637469034,"Foxl2"
"32",32,0.167928862946025,"Lhx1os"
"33",33,0.171505626829435,"Gm13212"
"34",34,0.210754429778471,"Vgll3"
"35",35,0.220076561429718,"Nkx2-9"
"36",36,0.238544260708708,"Gja4"
"37",37,0.242359930832084,"AC139238.1"
"38",38,0.244475475351669,"Mesp1"
"39",39,0.26299613331124,"Ctso"
"40",40,0.274800427124597,"Prc1"
"41",41,0.296440650634919,"Foxi2"
"42",42,0.351936279349449,"Fibin"
"43",43,0.360018448267438,"En1"
"44",44,0.367393292040595,"Isg20"
"45",45,0.42205513192362,"Phactr1"
"46",46,0.436137554915406,"Hist1h2ap"
"47",47,0.380087351974789,"Nepn"
"48",48,0.420884533556182,"Aldh1a3"
"49",49,0.46770513739156,"Mmp9"
"50",50,0.470762979991556,"Msx3"
"51",51,0.494820097151039,"Wnt8b"
"52",52,0.512563926123192,"Tmem98"
"53",53,0.540323699464702,"Krt15"
"54",54,0.539774886304053,"Nkx2-6"
"55",55,0.557302884236699,"Nkx1-2"
"56",56,0.571486283423977,"Vtn"
"57",57,0.581498644656797,"Lrrn4"
"58",58,0.586066711451129,"Tdgf1"
"59",59,0.591917167830827,"Kcne3"
"60",60,0.601930785435323,"Ripply2"
"61",61,0.620227778649268,"Adprhl1"
"62",62,0.620652301768921,"Hoxc10"
"63",63,0.649799278295983,"Osr1"
"64",64,0.665502681131801,"Adm"
"65",65,0.665918487794977,"Mrvi1"
"66",66,0.683781030842444,"Nkx2-3"
"67",67,0.696938981738657,"Ubtd1"
"68",68,0.702320177170834,"Meox1"
"69",69,0.715191809634007,"Hmx2"
"70",70,0.722476486450975,"2700046A07Rik"
"71",71,0.715253590909189,"Gpr83"
